formula,transition temperature
Bi2Sr2Ca1Cu2O8.19,89.26666667
Pt1V2.5,1.36
Eu0.8Pr0.2Ba2Cu3O6.7,65.0
Pb0.196Sn0.784In0.02Te1,1.68
Ba0.4K0.6O3,7.0
Nb3Sn0.9Ga0.1,18.2
Pr0.83La1Ce0.17Cu1O4,19.8
Au0.2Te0.8,1.48
Hg0.92Ba2.05Cu1.03O4.058,92.1
W2Zr1,1.08
Er1Ir2Rh2B4,7.37
N0.906Zr1,1.5
Nb3Sn0.95Ge0.05,18.1
Zn1,0.8508
Nd1.2Ba1.8Cu3O6.91,47.6
Zr1V1.85Fe0.15,6.41
Th0.65Y0.35,1.53
Ba0.82K0.18Fe1.654Co0.346As2,11.0
Sn0.6175Pb0.3325In0.05Te1,1.6
Al0.9Li0.1,1.29
Y0.8Ca0.2Ba2Cu2.8Ni0.2O6.77,64.0
Re0.9V0.1,9.4
Nd0.85Pr0.15Ba2Cu3O6.75,21.6
Ta0.91W0.09,2.78
Mo0.77Si0.23,1.7
Y1Ba2Cu3H0.38O7,93.8
U0.9622Th0.0378Be13,0.557
Ca0.9Pr0.1Fe1.3As1.8O0.2,20.0
Pb0.5Ca1Sr2Y0.5Cu2O6.97,55.0
Au0.4Ge0.6,0.32
Ca0.85La0.15Fe1As1.98Sb0.02,43.0
La1Ru2.925Fe0.075Si2,3.12
Y1Ba2Cu2.955Fe0.045O6.89,72.0
Ca0.9La0.1Fe1As1H1,28.2
Pb1Mo6S5Se3,4.3
Y1Ba2Cu3O6.61,59.626
P0.2Si0.8V3,16.6
Mo5.8Ru0.2Se8,6.21
Nb0.29Re0.71,5.61
Nb1,8.9976875
V0.75Si0.22Al0.03,13.3
Nb2B1N1,4.4
Fe1.02Te0.5Se0.3S0.2,11.64
Ta0.462Ti0.538,9.05
Cu1Rh1.6Sn0.4Se4,0.57
Nb0.7Ti0.3,10.1
La1.83Sr0.17Cu0.99Ru0.01O4,30.55
Re2Y1,1.83
Cu1La1,6.0
Mg0.88Ir0.12B2,18.0
Lu0.93La0.07Ni2B2C1,13.6
Y1Ni1Ge3,0.46
Tl1Sr2Ca1Cu2O6.75,37.0
Pb1.14Nb2Se5.14,3.4
Y0.8Pr0.2Sr2Cu2.85Re0.15O7,39.1
K0.85La0.15Bi1O3,10.25
Au5Ca1,0.34
Pb1Mo5.1S4,14.51
Pr0.95Sr0.05Fe1As1O1,4.86
Rh17S15,5.52
Nb0.5Sn0.25Ta0.125V0.125,12.2
Cu0.8Zn0.2Ir2S4,3.32
Nb2.1Zr0.9Sn1,17.7
La0.92Pr0.85Sr0.23Cu1O4,17.0
Ce1Co1In4.75Zn0.25,1.82
Zr1Ru0.95Fe0.05P1,10.3
La1Fe1As1F0.18O0.82,14.3
Sm0.65Th0.35Fe1As1O1,53.0
Cu1.2Co1.8S4,2.0
Ba0.8K0.2Bi0.3Pb0.7O3,7.2
Ca5.84Sr4.02Bi0.14Cu15.84O29,72.0
Y1Ni1.8Co0.2B2C1,6.75
La1.82Sr0.18Cu0.98Mn0.02O4,37.0
Na1Fe0.925Co0.075As1,10.6
Pb2Sr2Y0.5Ca0.5Cu3F0.5612O7.649,72.0
Y0.9Ca0.1Ba2Cu3O6.67,82.0
Mo1Re3,9.89
La1Fe1As1H0.58O0.58,32.0
Nb3Ge0.2Pb0.2Sn0.6,17.84
Er1Ba2Cu2.82Ni0.18O7,65.0
La1Fe0.8Ru0.2As1F0.11O0.89,19.7
Sc5Rh4Si10,8.405
Bi2Sr2Ca1Cu1.96Fe0.04O8,65.7
Mg0.764Au0.236B2,24.5
Ga0.205V0.795,9.7
Ir3Th7,1.52
Ag0.81Sn1.19Se2,6.415
Sn0.8In0.2Te1,3.035
Ho1Ba2Cu3O6.9,91.5
Y1Ba1.6La0.4Cu3O7.083,49.4
Bi2Sr2Ca0.7Y0.3Cu2O8.3,86.0
La1.64Nd0.2Ba0.16Cu1O4,12.0
Zr1Ru0.95Rh0.05P1,6.15
Dy1Ba2Cu2.8Ga0.2O6.78,50.0
Tl1Sr2Ca0.1Y0.9Cu2O6.97,87.0
Y0.95Ca0.05Ba1.6Sr0.4Cu4O7.8,82.0
C6Ir4O2,2.0
Re0.35W0.65,6.75
Zr1Hf1As1,3.2
Y0.95Ca0.05Ba2Cu3O6.79,88.0
Bi1.95Sr1.65La0.4Cu1O6.298,34.0
Pb0.42Sn0.42In0.16Te1,3.805
C8Cs1,0.135
Sm1.857Ce0.143Cu1O4,22.3
Sr1Fe1.3Ru0.7As2,16.8
La1Ba1.1Ca0.9Cu3O7.02,75.0
Mo0.5Rh0.5,1.91
Sn0.57Pb0.38In0.05Te1,0.703
Ru1Sr2Gd1.4Ce0.6Cu2O10,45.0
Nd0.9Pr0.1Ba1Ca1Cu3O7,35.0
Ca0.4Ba1.25La1.25Cu3O7.14,78.8
Y1Ba2.02Cu2.18Zn0.82O7,30.0
Ce0.985La0.015Pt3Si1,0.15
Mg1Al1Si1,6.0
La0.77Sm0.1Sr0.13Fe1As1O1,18.0
Ta1Se2,0.1425
Mg0.8Zn0.2C1Ni3,2.82
Lu0.55Pr0.45Ba1.7Sr0.3Cu3O6.92,35.0
Ir1Zr2,7.365
Y1Ba2Cu2.982Zn0.018O6.78,56.0
Y1Ba2Cu2.94Fe0.06O6.954,76.6
Be13W1,4.1
Y0.9Ca0.1Ba2Cu3O6.98,81.8
B2Ru1,0.8
Ba1Fe1.857Co0.13Mn0.013As2,18.0
Sr1Ga0.55Si1.45,3.4
Pb0.8Pt0.2,2.8
Rb0.14W1O3,5.1
Au0.075Sb0.85Te0.075,4.5
La1Ba0.9Ca1.1Cu3O7.05,71.0
La0.7Nd0.3Pt2.1B2.4C1.2,7.84
Ce1Pd1Bi1,1.3
La2Cu0.97Zn0.03O4.1,7.3
Pr1Os3.8Ru0.2Sb12,1.655
K1Hg1C4,0.68125
Al0.108V0.892,1.82
Y1La0.2Ba1.8Cu3O7.57,89.6
Ir0.99Pt0.01Te2,2.05
Nb0.25Sn0.25Ta0.25V0.25,6.2
La3Co4Sn12.35In0.65,5.1
V0.5Sr2.7Ca2.3Cu4.5O11.6,107.0
Y1Re0.05Ba2Cu2.95O7.02,92.0
In0.5La3Tl0.5,8.9
Tm1Ni1.88Fe0.12B2C1,5.52
La1Bi1S2F0.6O0.4,9.5
Mg0.9Pb0.1B2,34.0
Nb3Rh0.1Pt0.9,7.9
Th1In1.5Sn1.5,1.03
Fe1Se0.88,8.843333333
La1.77Sr0.23Cu1O4,21.15
La1.9Sm0.1Cu1O4,25.0
La0.8Y0.2,2.7
Nd1Fe1As1O0.85,51.45
Ca1Al1.4Si0.6,4.6
Tm1Ba2Cu3O6.72,64.5
La1.65Nd0.2Ca0.122Ba0.028Cu1O3.99,27.1
Y1Ba2Cu2.95Zn0.05O6.62,21.0
Nd1.25La0.6Ce0.15Cu1O4,23.0
Os0.1Zr0.9,5.17
La1.71Sr0.29Cu0.94Fe0.06O4,32.5
Mg1C0.814B0.111Ni3,6.88
Y0.9La0.1Ba2Cu3O6.62,92.35
Tc0.1W0.9,1.25
Tl1Sr2Ca0.5Sm0.5Cu2O6.75,37.6
Nb2.85Mo0.15Al1,14.45
Sn0.65Tl0.35,7.1
La1.895Sr0.105Cu1O4,26.3
Tm4Os4Si13,2.6
Ga1Sr2Tm0.6Ca0.4Cu2O7,51.0
Ir0.58Rh0.37Te2,3.76
Sr0.2W1Se2,1.4
Sn1Mo6S8,12.6
Tm1Ni1.9Fe0.1B2C1,6.64
Pd0.72W0.28,0.345
La1.3Ba1.5Sr0.2Cu3O6.901,43.8
Ca1.7K0.3Cu1Cl2O2,24.0
Y1Ba2Cu2.775Co0.225O6.99,58.0
Sr1.4Ba0.6Cu1F2O2,64.0
Lu0.94La0.06Ni2B2C1,15.1
Nb0.63Ta0.37,6.84
La1.85Sr0.15Cu0.995Ga0.005O4,29.8
Ca1Al1.25Si0.75,4.4
Ca2Cu1Cl2.18O2,24.0
La1Fe1P1F0.03O0.97,7.8
Lu1Ni1.85Co0.3B2C1,4.8
Ge0.4Cu0.6Sr2Ca1.9Y0.1Cu3O9.3,90.0
Ag0.15Pb0.975Sn0.01,7.25
Bi2.15Sr1.8Ca1Cu2O8.15,93.0
Bi2Sr2Ca0.95Ce0.05Cu2O8,80.0
Y0.12Er0.88Rh4B4,8.74
Ir0.76Rh0.18Se2,8.09
La2.5Gd0.5Ca1Ba3Cu7O16.539,80.0
Nb46Zr36.1Ta17.9,10.3
Li0.6Zr1N1Cl1,11.7
La1.3Ba1.2Sr0.5Cu3O6.955,38.0
Nb80Ga19Co1,13.7
Nb3Rh2,4.04
Gd0.9Ca0.1Ba1Sr1Cu3O6.8754,43.0
Lu4.5Tm0.5Ir4Si10,2.84
Pb2Rh1,2.66
La1.775Sr0.225Cu1O4,21.5
Hg1Ba2Cu1O4.18,95.16
La1.85Sr0.15Cu0.973Co0.027O4,2.5
Cu0.06Ti2Se2,2.0
V3Si0.986Sb0.014,10.5
Ba0.9K0.1Bi0.4Pb0.6O3,11.3
B2.32Nb1,9.8
Y1Ba2La1.94Cu3O6.963,91.8
Nb3Rh0.02Au0.98,11.4
Nb78Ga16Mn6,5.53
Bi0.045Sn0.955,3.88
Bi2Sr1.1Ca1.9Cu2O8.22,76.5
Nd0.7Pr0.3Ba2Cu3O7,5.6
Bi0.3Zn0.7,1.51
Sm1Fe1As0.95P0.05F0.12O0.88,46.8
Gd0.8Ca0.05Mo0.15Ba2Cu3O6.651,66.1
La1.84Sr0.16Cu0.975Ni0.025O4,15.0
Cs0.1Li0.1W1O2.8F0.2,2.1
La1.82Nd0.03Sr0.15Cu1O4,34.2
Cu0.5C0.5Ba2Ca2Cu3O9,67.0
Ir0.0875Rh0.0875Os0.825,0.095
Pb1Mo6S7.9Se0.1,12.7
Y1Ba2Cu2.9Ni0.1O6.88,69.5
Zr1V1.7Fe0.3,4.49
Nb0.75Al0.2Si0.05,15.4
Pb1.9Rh1,1.32
Sc0.2Y0.8Ir3.6Rh0.4B4,3.01
Ge1Pt1,0.4
Ce1.005Ni2.025Ge1.975,0.035
K1.1Bi1O3,8.8
C0.04Re0.96,1.98
Y1Ba2Cu2.84Fe0.16O7.303,85.0
Ce0.98La0.02Pt3Si1,0.03
Rh0.14Zr0.86,10.3
Pr2Ba4Cu7O14.36,20.6
Y1Ru1B2,7.7
Pb0.5Sr2Ca0.5Nd0.5Cu2.5O7,60.0
Au0.2Nb0.8,6.45
Ho0.45Lu0.55Ni2B2C1,10.0
Sr1Ga0.75Si1.25,3.67
Ho1Ni1.99Co0.02B2C1,4.8
Pr0.95Ce0.05Pt4Ge12,5.75
Ba2Bi3,4.44
Pr0.55Nd0.45Os4Sb12,1.01
Ga0.21V0.79,10.0
Os2Y1,4.7
Nb1.2Mo1.8Al1,4.2
In0.82Mg0.18,3.67
Bi0.54Cd0.2Sn0.26,3.69
Re0.98Rh0.02,2.014
Y1Ba2Cu3H0.31O6.54,47.3
K0.85Fe2Se1.8,32.6
Li0.99Fe1.01As1,14.0
Fe1.03Se0.25Te0.75,12.5
Cu0.7Ti1Se2,3.9
La1.87Ba0.13Cu0.99Ga0.01O4,4.5
Pr0.5Nd0.5Os4Sb12,0.6
Y1Ba2Cu2.89Al0.11O7,82.0
Ni1Zr2,1.981666667
Nd0.8Sm0.2Bi1S2F0.7O0.3,4.65
Bi2Sr2Ca1Cu2O8.17,85.5
Mg1B1.98C0.02,37.53333333
Bi1.7Pb0.3Sr2Ca0.55Y0.45Cu1.94Zn0.06O8,41.3
Th0.25Zr0.75,6.29
Y1.968Lu0.032Fe3Si5,2.9
Ta0.7V0.3,3.0
C1.45Mo0.1Y0.9,13.8
La1.78Sr0.22Cu0.9975Zn0.0025O4,19.25
Sm1Fe0.95Co0.05As1O1,2.565
Bi1.1Nb1Se3.1,2.36
Sr1.5Ba0.5Y1Cu2.8Mo0.2O7.03,26.0
La1.69Sr0.31Cu0.94Co0.06O4,31.0
Ba1Fe1.885Co0.115As2,24.3
Co0.05Rh0.04Ti0.91,4.0
Eu1Fe1.76Co0.24As2,2.0
Mo0.865Re0.135,6.1
La0.8Ce0.2Ru2,2.01
Ca6.85Pr3.15Pt3Fe10As18,20.5
Co1Zr2,5.352857143
Hg0.97Tl0.03,4.109
Y0.85Ca0.05Pr0.1Ba2Cu3O6.95,84.6
Y0.75Lu0.25Ni2B2C1,14.9
La0.936Gd0.064Sn3,3.76
Mg0.96Mn0.04B2,32.3
Nd1Ba1Ca1Cu3O7,35.0
La1Ba1.75Sr0.25Cu3O6.946,72.5
Sb1.16Ta2S5.16,3.0
Y1Sr1.2Ba0.8Cu2.5B0.5O7,35.0
La1.1Ba1.5Ca0.4Cu3O7.06,79.0
Nb0.957Ta0.043,8.55
Sr1Fe1.85Ni0.15As2,8.93
K0.4W1O3,1.74
La1Pt0.4Ni0.6Si1,1.945
Pd31Zr69,2.34
Ce1Bi3.4Pb0.6Te6,3.0
Tm1Ir4B4,1.675
Au0.499Ga0.501,1.17
Y1Ba2Cu2.95Fe0.05O6.92,91.8
Y0.8Ca0.2Ba2Cu4O8,87.8
C1.45Th1,4.1
Sb3Zr5,1.5
Tl1Sr1.5Gd0.5Ca1Cu2O7,79.0
Fe1Te0.5Se0.5,14.38
Sn3Yb1,3.6
Y1Ba2Cu3O6.729,56.8
Y1Ba2Cu3O6.861,80.5
Cs2Rb1C60,33.0
Ce1Co0.925Ni0.075In5,1.69
Ag3.3Al1,0.34
Ba1Ti2Bi2O1,4.6
Ca4Al2Fe2As2O5.785,27.0
Sr0.2La1.8Cu0.95Co0.05O4,16.0
Co0.3Sc0.7,0.35
Tc1,7.794166667
H0.63Nb0.87Pd0.17,3.89
Eu1Ba2Cu2.9Ga0.1O6.74,52.0
C0.48Sr2Ca0.4Y0.6Cu2.46O6.97,41.1
La1Fe1As0.8P0.2F0.1O0.9,26.0
Bi2Sr1.76La0.24Cu1O6,24.0
Ce1Cu1.95Si2.01,0.62
Gd1Fe1As1F0.2O0.8,48.35
K0.46Ti1N1Br1,16.3
Y1Ba2Cu2.91Zn0.09O6.93,55.0
Bi1.7Pb0.3Sr2Ca0.75Y0.25Cu1.94Zn0.06O8,60.6
Cu1Se1Te,1.6
La2.9234Ce0.0766In1,4.02
Bi2Sr1.3Nd0.7Cu1O6.417,14.2
Hf1Ru1As1,3.193333333
Sr2Cu1F2O2,44.33333333
V50Ti40Ta10,4.6
Ce1Rh0.5Ir0.5In5,0.875
Pr1Os2.8Ru1.2Sb12,1.05
Nb3Pt0.02Rh0.98,2.52
Ge0.5Pt0.5,1.4
Ta1Re1Si1,4.4
Cr0.099V0.901,3.3
Mg1C1Ni2.99Ru0.01,6.715
Pr1Tl2Sr2Ca4Cu5O2,88.0
Nd1Ba2Cu3O6.85,67.4
Tl1Mo3Te3,5.84
Mg0.8Al0.1Li0.1B2,31.95
Na0.4H3.6Pb1.14S5.14Ta2O1.8,3.7
Y0.5Pr0.5Ba2Cu3O6.98,21.9
Y1Ba2Cu2.73Ga0.27O7,67.04
Ag0.167Al0.833,0.88
Mg0.7Li0.15Al0.15B2,25.1
Ba0.525K0.475Bi1O2.917,25.9
La1Ni1Sn1,0.59
Sr1Pd1.8Ni0.2Ge2,3.15
Y1Ba2Cu3O6.957,91.0
Y0.8Ca0.2Ba2Cu3O6.84,82.0
Ca10Pt3.97Fe9.03As18,10.75
Y1La0.2Ba1.8Cu3O7.74,89.1
Th0.8Y0.2,1.64
Mg0.99Pb0.01B2,35.9
Y1Ba1.5La0.5Cu3O7.19,38.3
La3Co1Ru3Sn13,5.0
Nb0.35Hf0.65N1,6.05
Co0.5Fe0.5U6,3.0
As0.33In1Te0.67,0.85
Dy0.6Tm0.4Ni2B2C1,5.77
Tl2Ba2Cu1O5.929,70.0
Y1Re0.1Ba2Cu2.9O7,91.5
La1.85Sr0.15Cu1O4.03,40.0
La0.995Gd0.005Al2,0.932
Li1Zr1N1Cl0.75Br0.25,14.4
Sr0.7Ca0.3Ti1O3,0.525
La2.9889Gd0.0111In1,7.92
V2.88Ce0.12Si1,15.32
Ba8Ga16Ge30,7.5
La1Fe1As0.6P0.4O1,4.3825
Cd2Re2O7.1,1.0
Er0.7Tb0.3Ni2B2C1,2.0
La2Cu1O4.034,30.7
Nd1Ba2Cu3O6.65,34.3
B5Mo0.2Nb1.8,4.3
Nb3In0.15Sn0.85,18.3
Gd1Re1B1C1,4.0
Y0.95Ca0.05Ba2Cu2.95Co0.05O6.84,72.5
Pr0.65Sr0.35Fe1As0.85Sb0.15O1,21.9
Ce1Bi1S2F0.7O0.3,3.366666667
Be13U0.9645Th0.0355,0.55
Mo1B0.05C0.82,11.5
La1.85Sr0.15Cu0.95Ni0.05O4,2.1
Y1Ni1.46Pd0.54B2C1,10.1
Cu1Co1.98Cr0.02S4,3.4
Ba0.76K0.24Fe2As2,26.0
U1,0.581666667
In1.1Te1,2.8
Ru27Zr73,3.11
La1.909Ce0.091Cu1O4,30.3
Fe0.5Ba2Dy1Cu2.5O7.52,75.0
Ga0.1Nb1Se2,2.7
La1.79Sr0.21Cu0.94Ni0.06O4,28.3
Lu0.275Rh0.725,1.27
Nb2.934V0.066Sn1,17.7
Pr1Fe0.9Co0.1As1O1,14.9
C1.45Y0.9Zn0.1,13.0
C1Nb0.6W0.4,12.5
Y1Ba2Cu3O6.765,75.8
Cr0.25V0.75,1.36
Y0.74Ca0.16Sr1.6Ba0.5Cu2.78S0.22O7,54.9
La1Fe0.985Zn0.015As1F0.08O0.9,0.2
La1In0.75Sn2.25,0.67
Tm5Ir4Si10,0.95
O1Re1Ti1,5.74
Bi2Sr2.65Ca0.35Cu2O8,93.6
Nb0.37Ta0.63,5.31
Nb3Al0.83Ge0.17,19.6
Ga1Sr2Ca3Cu4O10.8,93.0
Y1Ba2Cu2.9Fe0.1O6.929,71.0
Ce1Pt2.94Ni0.06Si1,0.545
Sm0.8Pr0.2Ba2Cu3O6.7,25.6
Bi0.1Pb0.4La1.2Sr1.3Cu2O5.78,44.0
Y1Ba1.9La0.1Cu3O7.06,91.9
Ho1Sr0.2Ba1.8Cu4O8,68.8
La1.9Gd1.1Ca1Ba2.4Sr0.6Cu6.58In0.42O16.554,58.0
Nb3Sn0.5Sb0.5,14.4
Nd1.84Ce0.16Cu1O3.96,16.1
La1Fe0.9Ru0.1As1F0.11O0.89,23.65
Sr2Cu1C0.85B0.15O5,32.0
Ru11Zr89,3.87
In0.45Tl0.55,2.48
Th1Ir1Ru1,2.53
Zr55Co30Al15,2.4
Mg1.99Mn0.01B2,37.6
Nd0.4Sm0.6Bi1S2F0.3O0.7,5.38
Lu0.5Pr0.5Ba1.7Sr0.3Cu3O6.92,20.0
Bi2.1Sr1.8Ca1Cu1.96Co0.04O8,73.0
Nd1Bi0.97Pb0.03S2F0.3O0.7,5.37
Ba2Ca1Cu2F2O4,82.0
Y1.8Ge0.2C2.7,10.6
Cu0.025V0.975,4.45
Ce1Pt0.2Ru1.8,3.4
Mo0.2Nb0.8,4.4
La1Fe0.991Zn0.009As1F0.08O0.9,15.6
Lu1Rh1.2Sn4,4.0
H0.938Pd1,5.523
Th3Os4Ge13,5.6
Ba1Fe1.87Zn0.04Co0.09As2,13.42
La1Ni1As1H0.08O0.92,3.76
Pb0.1Yb0.9Mo6Se8,6.3
Ir0.83Pd0.045Pt0.125,0.037
La1Ba2Cu3O6.89,76.0
Sb2Te3,4.942
Er0.5Pr0.5Ba2Cu3O6.82,34.4
Pr1Fe0.925Co0.075As1O1,15.03333333
Bi1.8V0.2Sr2Ca2Cu3O2,112.0
B2Zr1,2.75
La1Ba1.25Ca0.75Cu3O6.958,79.9
Sn0.72Eu0.4Mo6.35S8,10.1
Pb0.5Sr2Y0.6Ca0.4Cu2.5O6.97,67.0
Y2I1.5Cl0.5C2,8.25
La1Ru3.5Si2,7.6
Bi1.8Pb0.2Sr2Ca1Cu1.94Co0.06O8,48.6
Nd0.6Sm0.4Bi1S2F0.3O0.7,5.19
Tm5Rh2.4Co3.6Sn18,1.27
Y1Ba2Cu3H1.4O6.98,92.0
Ba0.6K0.4Bi0.925Pr0.075O3,4.5
Y1Ba2Cu3S0.03O7.12,90.0
Yb1Pd2Ge2,1.17
Nb80Ga15Mn5,5.0
Bi2Sr2Ca0.8Nd0.2Cu2O8.26,89.25
Sn0.901In0.099Te1,1.746
Eu0.6Pr0.4Ba2Cu4O8,40.0
Ba0.595K0.405Bi1O3,31.2
Ca1Al0.74Si1.26,2.46
Sm1Fe0.875Ir0.125As1O1,16.5
Hf1Os1As1,3.2
Ca0.81Nd0.19Fe1As2,11.0
Pd0.24Ti0.76,2.0
Ba1Fe1.678Ru0.322As2,9.31
Rh0.01Zr0.99,2.92
La0.4Th0.6Ni1C2,7.6
Ca0.5Na0.5Fe2As2,19.8
Y0.8Ca0.05Pr0.15Ba2Cu3O6.95,82.7
Pb0.5Cu0.5Sr1La1Cu1O5.1,31.9
Bi2Sr2Ca1Cu2O8.3,70.0
V3Si0.52Ga0.48,7.8
La0.9Th0.1Ni1C2,4.45
Ce1Pt1Si2,0.14
Ce1Bi1S2F0.9O0.34,3.51
La2Cu1O4.32,37.5
La1.85Sr0.15Cu0.982Al0.018O4,9.1
Sr1.5Ba0.5Y1Cu2.8Ga0.2O6.96,32.0
Y0.3Lu0.7Ir4B4,2.98
Sn0.6723Pb0.1677In0.16Te1,3.11
Ce1Co1In4.92Sn0.08,1.22
Y0.75Tb0.25Ni2B2C1,10.02
Ce1Ir1In4.946Hg0.054,0.476
Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.6,61.0
Ca1Rb1Fe4As4,35.0
Y1Ba2Cu2.95Ni0.05O6.94,85.0
Cu0.08Ta1S2,3.45
Bi1,5.867142857
Mg0.99Mn0.01B2,33.4
Nd0.2Sm0.8F0.3Bi1S2O0.7,5.58
Ce1Bi1S2F0.7O0.35,4.0
Ce0.4Nd0.6Bi1S2F0.7O0.3,3.67
Ba0.5K0.5Fe1.96Mn0.04As2,25.85
La1Al1.995Si0.005,2.9
Nb2.85Ta0.15Al1,16.8
Ni2P2Sr4Sc2O6,3.525
Bi2Sr2Ca0.8Yb0.2Cu2O8.26,91.65
Ga1Pt1,1.74
Y1Ba2Cu2.94Ni0.06O7.01,85.0
Pt1Ta1,1.0
Y0.5Pr0.5Ba2Cu3O7,25.93
Y0.95Pr0.05Ba2Cu4O8,77.0
Y0.3Pr0.7Sr2Cu2.85Re0.15O7,15.8
Y1Ba2Cu2.91Zn0.09O6.75,23.0
H0.81Pd1,1.855
Er0.85Ca0.15Ba2Cu3O6.93,79.5
Gd1Ba2Cu3O6.8,81.0
Tm0.8Pr0.2Ba2Cu3O6.95,77.9
Eu0.5Ca0.5Fe2As2,24.0
Na0.2O3W1,0.55
Pb2Sr0.9La1.1Cu2O6.65,30.3
Ca0.2Ba1.55La1.25Cu3O7.03,34.7
Mg0.47Tl0.53,2.75
Mg1C1Ni3,6.91125
Y0.8Ca0.2Ba2Cu3O6.1,50.0
Sm1.05Gd0.8Ce0.15Cu1O3.97,15.0
Y0.75Pr0.25Ni2B2C1,7.7
Y0.85Pr0.15Ba2Cu3O6.8,59.0
Pr1Pt2B2C1,6.0
Eu1.85Ce0.15Cu1O4,7.75
Ir0.19Rh0.75Se2,7.49
B2.5Mo1,7.775
Y0.99Ba1.99Cu2.847Li0.153O6.4,62.0
Ir0.815Rh0.185,0.028
La1.9Sr0.1Cu1O4.018,40.0
Sm1Fe1As0.9P0.1F0.12O0.88,36.35
La0.95Y0.05F0.5Bi1S2O0.5,2.5
Bi3Sr1,5.7
Yb0.55Pr0.45Ba1.7Sr0.3Cu3O6.88,41.0
Nb0.8Ga0.19Cr0.01,13.6
Sr1.5Ba0.5Y1Cu2.8Ti0.2O7.2,78.0
Ta1Se0.8Te1.2,1.165
Ir0.1Rh0.1Os0.8,0.14
Bi2Sr2Ca1Cu2I0.61O8.21,56.3
La1Gd1Ba2Ca2Cu6O14.1,79.0
Hg1Ba2Cu1O4.097,95.3
Sc0.7Y0.3Ni2B2C1,14.5
Ho1Rh2.4Ru1.6B4,1.6
Ba0.19K0.81Bi1O3,8.4
Ru0.98Ir0.02Sr2Gd1Cu2O8,38.0
Nb3Ga0.65Sn0.35,16.3
Bi0.3Pb0.3La1.2Sr1.2Cu2O5.81,55.0
V3Si0.9Ge0.1,14.0
U2Pt0.9Rh0.1C2,1.09
La1.875Ba0.025Sr0.1Cu1O4,29.65
Y1Ba1Sr1Cu3O6.685,34.0
Ca0.4La1.25Ba1.35Cu3O7.055,57.0
Bi1.4Pb0.6Sr2Ga2Cu3O7,62.7
Na0.28Co1H2.6O3.3,4.48
Bi1.7Pb0.3Sr2Ca0.94Nd0.06Cu2O8.1,81.27
Fe0.08Nb0.05Ti0.87,4.7
Rh1W1,3.37
Nb0.25Mo0.75C1,13.1
Nb6Sn5,2.435
Pb2Sr2Y0.5Ca0.5Cu3F0.253O7.9858,68.0
Nb3Rh0.98Ru0.02,2.42
La1.89Sr0.11Cu1O3.986,29.2
Sr1.7K0.3Cu1C1O5,16.0
Nb3Al0.907Ga0.093,19.1
La1Pt3P1,1.5
Cu0.85Ge0.15,0.084
Tl1Ba2Ca1Cu2O8,105.9816667
Ga0.1Pb0.9,6.33
Mo0.7Pt0.075Re0.225,7.4
Na0.16Ti1N1Cl1,14.0
Cu0.5C0.5Sr2Ca1Cu2O7,90.0
La2Cu0.975V0.025O4.032,40.0
Fe1.02Se1,6.0
Pb0.987Tl0.013Te1,1.32
Pb0.5Cu0.5Sr1La1Cu1O5.03,36.7
Rh0.91Ti0.4V0.05,2.9
Sm1Fe1As1H0.22O0.78,50.0
Er0.8Ca0.05Hf0.15Ba2Cu3O6.706,64.8
La1Fe0.85Zn0.15As1F0.1O0.9,19.9
La2.9553Gd0.0447In1,4.3
Ca1.9K0.1Cu1Cl2O2,18.0
Sr1Pt2.4Pd0.6P1,6.57
Pd0.84Au0.16H0.9,13.6
Y1Ba2Cu2.97Ti0.03O6.92,82.0
La1Ni0.95Cu0.05C2,3.15
Be13U1,0.917754545
Sn0.97As0.02Te0.98,0.0318
Ir0.68Rh0.27Te2,4.02
Gd1Ba2Cu4O8,72.66666667
La1Pt1.8Ge2.2,1.95
In0.4Tl0.6,2.52
La3Ru4Sn13,2.65
Ba0.6K0.4Bi1O2.977,29.0
U1Ni2Al2.98,1.155
Mo6S6Br2,13.4
P3Pd7,0.85
Al1Nb2.1V0.9,12.5
U0.88Mo0.12,1.91
C2Y1,3.895428571
Y1Ba2Cu2.98Ni0.02O6.94,86.0
Ho1Ni2B2C1,7.532352941
Ge0.7Mo1,1.2
Bi0.055Sn0.945,3.94
La1.89Sr0.11Cu0.995Fe0.005O4,14.7
Ru2Sc1.2,1.67
Pr0.95La0.05Os4Sb12,1.815
C1Re0.06W1,5.0
Fe1Sr2Eu1Cu2O7.51,22.0
Y1Pd4.2B3C0.3,24.0
Nb0.85Rh0.15,3.0
Eu0.7Pr0.3Ba2Cu3O7,53.8
Ni2Nb1Al1,1.075
Ba0.5K0.5Fe1.9Mn0.1As2,9.53
Ru3U1,0.0725
Pb0.5Cd0.5Sr2Tb0.5Ca0.5Cu2O7,19.0
Be5Ga1,5.8
Au1Ga40Mo8,9.4
La3Ni4P4O2,2.2
Y0.85Pr0.15Ba2Cu3O6.95,81.6
Te1,3.94125
Y0.4La0.6Ba2Cu3O6.99,85.0
Ir0.64Rh0.3Se2,8.77
Rb0.1Li0.02W1O2.88F0.12,3.4
Co28Zr72,3.12
La7Rh3,2.59
Bi1Pb1Sr1.6La0.4Cu1O6.065,19.8
La1.85Sr0.15Cu0.99Ni0.01O4,30.675
Gd1.15Ba1.85Cu3O6.99,48.0
